,category,is_closed,latitude,longitude,name,rating,review_count
989,korean,False,34.06193,-118.3107,Star Night,4.5,102
990,vegan,False,34.0522342,-118.24368490000002,Todo Verde,5.0,43
991,japanese,False,34.04448,-118.23824,Tsurumaru Udon Honpo,4.0,529
992,ethiopian,False,34.0173639,-118.27831439206498,Azla,4.5,376
993,streetvendors,False,34.055450439453104,-118.24723815917999,Dedicated Danny's Bacon Wrapped Hotdogs,5.0,59
994,bbq,False,34.13742,-118.1954,Kogi BBQ Truck - Verde,4.0,606
995,foodtrucks,False,33.9891021960076,-118.26535470531601,Tacos Los Poblanos,4.5,199
996,italian,False,34.07339,-118.3809,Locanda Veneta,4.5,479
997,italian,False,34.051017473398,-118.257885974904,DRAGO Centro,4.0,1531
998,korean,False,34.05239,-118.30447,Yupdduk Olympic,4.0,319
999,soulfood,False,34.05082,-118.36183,Charlie's Fish & Chips,4.0,95
1000,southern,False,34.061516999999995,-118.239716,Howlin' Ray's,4.5,5624
1001,tapasmallplates,False,34.10052,-118.32927,Running Goose,4.5,966
1002,french,False,34.06415,-118.34367,République,4.0,5132
1003,dimsum,False,34.07577,-118.36982,Bao Dim Sum House,4.0,2775
1004,taiwanese,False,34.0581675839108,-118.417310318771,Din Tai Fung,4.0,1123
1005,gastropubs,False,34.12384,-118.26868,The Morrison,4.5,4203
1006,newamerican,False,34.07586,-118.35247,Mixtape,4.0,95
1007,newamerican,False,34.048111,-118.258345,JOEY DTLA,4.5,339
1008,japanese,False,34.050023,-118.239935,Marugame Monzo,4.5,3535
1009,ramen,False,34.0573614429986,-118.30676974470501,Slurpin' Ramen Bar,4.5,4041
1010,cafes,False,34.060944799999994,-118.3446759,Met Her At A Bar,4.5,959
1011,lounges,False,34.048970000000004,-118.2514,Perch,4.0,7268
1012,cafes,False,34.05218,-118.28737,Coffee MCO,5.0,76
1013,italian,False,34.03402,-118.22919,Bestia,4.5,5849
1014,ramen,False,34.050080909440005,-118.24018045129999,Daikokuya Little Tokyo,4.0,8317
1015,ramen,False,33.9583942,-118.3941804,The Ramen Joint,4.5,1176
1016,korean,False,34.0628602582049,-118.29757030125799,Hangari Bajirak Kalguksu,4.5,1555
1017,sushi,False,34.06372,-118.36446,KazuNori: The Original Hand Roll Bar,5.0,8
1018,french,False,34.051909,-118.3843212,A Food Affair,4.5,1241
1019,italian,False,34.0469300995766,-118.256601457672,Bottega Louie,4.0,16578
1020,hotdog,False,34.0456047058105,-118.23606109619101,Wurstküche,4.0,8184
1021,italian,False,34.050039,-118.248552,Maccheroni Republic,4.0,2761
1022,italian,False,34.07117,-118.37702,Emilia,5.0,49
1023,southern,False,34.0498186,-118.3596124,My Two Cents,4.5,597
1024,hawaiian,False,34.004425692649605,-118.42160705539699,Rutt's Hawaiian Cafe,4.0,1650
1025,mexican,False,34.052409999999995,-118.30071,Guelaguetza Restaurante,4.0,2117
1026,indonesian,False,34.0595543956397,-118.420109087905,RockSugar Southeast Asian Kitchen,4.0,2450
1027,brazilian,False,34.04665,-118.25616,H&H Brazilian Steakhouse,4.5,197
1028,vegan,False,34.077123,-118.25871399999998,Sage Vegan Bistro - Echo Park,4.0,2149
1029,hotdog,False,34.06577,-118.30847,Myungrang Hot Dog-California Market LA,4.5,682
1030,bbq,False,34.0665313022035,-118.254266053011,The Park's Finest,4.0,1995
1031,soup,False,34.0664685489966,-118.30938392450199,CALI PHO NIA,5.0,7
1032,delis,False,34.060099,-118.238083,Little Jewel of New Orleans,4.0,1653
1033,sushi,False,34.08319167,-118.273245,いざかや おせん- IZAKAYA OSEN,4.5,632
1034,hotdog,False,34.0282923762355,-118.27520824470501,Dirt Dog,4.5,1860
1035,halal,False,34.162558000000004,-118.3730708,Urban Skillet,4.0,757
1036,korean,False,34.057544,-118.305579846558,Magal BBQ,4.5,1598
1037,newamerican,False,34.077585,-118.259599,Masa of Echo Park,4.0,4002
1038,greek,False,33.9524703946447,-118.38524200185199,Aliki's Greek Taverna,4.5,1015
1039,mideastern,False,34.041509999999995,-118.23261,Bavel,4.5,1064
1040,foodstands,False,34.0725774690603,-118.214694509262,Corn Man,4.5,899
1041,tapasmallplates,False,34.0941,-118.32734,Barkada,4.5,280
1042,southern,False,34.048107147216804,-118.326278686523,Gus's World Famous Fried Chicken,4.0,1361
1043,korean,False,34.04847,-118.30867,Road To Seoul,4.0,3650
1044,newamerican,False,34.06372,-118.36446,HiHo Cheeseburger,5.0,2
1045,sushi,False,34.0476390576719,-118.247747561303,KazuNori  | The Original Hand Roll Bar,4.5,2580
